Gene ID,Fold Change
204475_at,3.20E+00
209942_x_at,2.90E+00
208025_s_at,2.80E+00
206273_at,2.70E+00
205747_at,2.60E+00
221332_at,2.30E+00
221465_at,2.30E+00
207183_at,2.30E+00
206035_at,2.30E+00
220752_at,2.30E+00
204533_at,2.20E+00
205680_at,2.20E+00
206513_at,2.10E+00
221445_at,2.00E+00
205929_at,2.00E+00
206671_at,2.00E+00
209875_s_at,2.00E+00
207454_at,2.00E+00
204272_at,2.00E+00
219464_at,2.00E+00
210237_at,1.90E+00
205712_at,1.90E+00
207666_x_at,1.90E+00
206449_s_at,1.90E+00
204230_s_at,1.90E+00
220806_x_at,1.80E+00
220867_s_at,1.80E+00
207789_s_at,1.80E+00
204129_at,1.80E+00
208224_at,1.80E+00
220045_at,1.80E+00
215715_at,1.80E+00
207065_at,1.70E+00
210163_at,1.70E+00
207803_s_at,1.70E+00
206741_at,1.60E+00
208477_at,1.60E+00
220100_at,1.50E+00
220090_at,-5.70E+00
204777_s_at,-5.40E+00
207935_s_at,-5.20E+00
209211_at,-5.00E+00
206884_s_at,-4.70E+00
220026_at,-4.60E+00
206004_at,-4.50E+00
201324_at,-4.30E+00
209894_at,-4.30E+00
205200_at,-4.20E+00
219554_at,-4.20E+00
205623_at,-4.20E+00
214536_at,-4.10E+00
204201_s_at,-4.00E+00
207808_s_at,-4.00E+00
209357_at,-4.00E+00
209587_at,-3.90E+00
201348_at,-3.90E+00
201534_s_at,-3.80E+00
219529_at,-3.80E+00
209155_s_at,-3.80E+00
207206_s_at,-3.80E+00
208650_s_at,-3.80E+00
204734_at,-3.80E+00
217894_at,-3.80E+00
209291_at,-3.80E+00
202314_at,-3.80E+00
205900_at,-3.80E+00
204284_at,-3.70E+00
210946_at,-3.70E+00
206023_at,-3.70E+00
204631_at,-3.70E+00
207002_s_at,-3.70E+00
207878_at,-3.70E+00
204083_s_at,-3.70E+00
203407_at,-3.60E+00
202660_at,-3.60E+00
206276_at,-3.60E+00
200056_s_at,-3.60E+00
219106_s_at,-3.60E+00
203675_at,-3.50E+00
205694_at,-3.50E+00
204159_at,-3.50E+00
201737_s_at,-3.50E+00
214274_s_at,-3.40E+00
208792_s_at,-3.40E+00
57588_at,-3.40E+00
200656_s_at,-3.40E+00
214087_s_at,-3.40E+00
209230_s_at,-3.40E+00
205554_s_at,-3.40E+00
208195_at,-3.30E+00
220664_at,-3.30E+00
39729_at,-3.30E+00
202731_at,-3.30E+00
